_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3137,c_b707,Comune di Capriglio,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,6,3
3138,c_b708,Comune di Caprile,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,medium,3,6,3
3139,c_b709,Comune di Caprino Veronese,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,10,0,1
3140,c_b710,Comune di Caprino Bergamasco,Pubbliche Amministrazioni,ok,Drupal,,Drupal,Bootstrap,high,39,3,4
3141,c_b711,Comune di Capriolo,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
3142,c_b712,Comune di Capriva del Friuli,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,9,2,5
3143,c_b715,Comune di Capua,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,4,3,4
3144,c_b716,Comune di Capurso,Pubbliche Amministrazioni,ok,WordPress,,WordPress,,high,0,1,5
3145,c_b717,Comune di Caraffa di Catanzaro,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,15,8,10
3146,c_b718,Comune di Caraffa del Bianco,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,25,7,12
3147,c_b719,Comune di Caraglio,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
3148,c_b720,Comune di Caramagna Piemonte,Pubbliche Amministrazioni,error,,,,,low,0,0,0
